,출발지 행정동
36472, 내당4동 
36597, 종로 
36621, 중앙대로21길 
36769, 덕곡동
36799, 선원로37남길 
36818, 현충로19길 
36827, 월배로 
36838, 옥포읍 반송리
37024, 통학로48길 
38514, 검단로27길 
38621, 중앙대로 
38889, 북성로2가 
39624, 현풍면 상리
40233, 효신로16길 
40408, 사월동 
40668, 교동
40700, 봉산동 
42166, 진인동 
42228, 율하동로15길 
42281, 서내동
42409, 국채보상로67안길 
42453, 신기동(안심1동)
42519, 상매동
42882, 한실로6길 
42938, 갈산동
42986, 국채보상로214길 
43059, 노원동1가(노원동)
43164, 국채보상로150길 
43400, 성서4차첨단로 
43596, 상화로21길 
43700, 진천로16길 
43737, 계명2길 
43829, 희망로36길 
43834, 만촌로4길 
43885, 매여동
44147, 현풍읍 부리
44446, 달구벌대로377길 
44849, 두류공원로 
45994, 신암5동
46190, 동촌로6길 
46419, 상원로3길 
47171, 상서동
47421, 동부로
48001, 북비산로31길 
49691, 들안로46길 
49770, 부동
50063, 범물동(범물1동)
50112, 상화로 
50141, 효목로19길 
50864, 동성로1가
50994, 호림동 
51141, 옥산로2길 
51204, 노원동3가(노원동)
51434, (대구2호선) 
51487, 비산동(비산5동)
51499, 남산로 
51690, 명덕로35길 
51720, 동부로26길 
51876, 고성동
51879, 효신로5길 
52065, 유가읍 테크노상업로
53572, 학남로1길 
53805, 신암동(신암5동)
54088, 효목1동 
54110, 학정로 
54538, 도원로 
54648, 국채보상로 
54682, (대구1호선) 
54710, 신용동 
54891, 구마로39길 
55117, 3공단로 
55513, 용계동(안심2동)
55838, 대구광장지점 
55862, 노원동2가(노원동)
57506, 동촌로42길 
57536, 봉덕로6길 
57554, 선원로10길 
57727, 동촌로56길 
57806, 대명천로47길 
58124, 가창면 단산리
58169, 옥포읍 기세리
61119, 노변동(고산2동)
61195, 팔공산로23길 
61341, 다사읍 문산리
61500, 달구벌대로378길 
61826, 동암로37길 
62034, 서성로1가 
62345, 야외음악당로 
